"tendid","docid","yyyy","array_agg"
"2004/S 200-001512","99692-2008",2008,"{""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services."",""IT managed services.""}"
"2004/S 200-001512","99692-2008",2008,"{""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service."",""Provision of IT managed services under the ITIL framework for an IT estate of circa 700 users (200 internal, 500 external via web). Services required include: Service Desk; Desk-side support; Infrastructure support and administration; Purchasing, Procurement and Disposal; Licensing of Hardware and Software; Wide Area Network (WAN) and management; Local Area Network management; Data Centre Hosting; Definition of IT Systems Architecture; Application Development and Support - call-off service; and Consultancy Services in the areas of Strategy, Applications and Infrastructure - call-off service.""}"
"2004/S 200-001512","99692-2008",2008,"{""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1."",""Services. Service category No 07. Main place of performance: UK-London. NUTS code UKI1.""}"
"2004/S 200-001512","99692-2008",2008,"{""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %)."",""There is insufficient space in Section IV.2.I to complete the award criteria used. Criteria 11 and 12 are as follows: 11. Demonstrated capability at delivering technical projects. Technical leadership capability and pro-active infrastructure reviews. (Weighting 5 %) 12. Credibility of draft Transition Plan (Weighting 5 %).""}"
"2004/S 200-001512","99692-2008",2008,"{""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services"",""UK-London: computer and related services""}"
"2013/S 64-107835","95641-2014",2014,"{""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS)."",""Hosting, Support and Development of Legacy Rural Development Programme for England (RDPE) scheme IT system (GENESIS).""}"
"2013/S 64-107835","95641-2014",2014,"{""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK"",""Services Service category No 7: Computer and related services Main site or location of works, place of delivery or of performance: England. NUTS code UK""}"
"2013/S 64-107835","95641-2014",2014,"{""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support"",""United Kingdom-Sheffield: IT services: consulting, software development, Internet and support""}"
"2006/S 164-176883","83585-2008",2008,"{""APMS contract for new Health Centre at Shinfield, Berkshire."",""APMS contract for new Health Centre at Shinfield, Berkshire.""}"
"2006/S 164-176883","83585-2008",2008,"{""GO reference: GO 08032726."",""GO reference: GO 08032726.""}"
